0, true, 3, 2, 59 ms
1, true, 5, 4, 19 ms
2, true, 7, 6, 24 ms
3, true, 9, 8, 21 ms
4, true, 11, 10, 21 ms
5, true, 13, 12, 18 ms
6, true, 15, 14, 15 ms
7, true, 17, 16, 19 ms
8, true, 19, 18, 15 ms
9, true, 21, 20, 16 ms
10, true, 23, 22, 17 ms
11, true, 25, 24, 17 ms
12, true, 27, 26, 20 ms
13, true, 29, 28, 20 ms
14, true, 31, 30, 16 ms
15, true, 33, 32, 20 ms
16, true, 35, 34, 18 ms
17, true, 37, 36, 24 ms
18, true, 39, 38, 20 ms
19, true, 41, 40, 26 ms
20, true, 43, 42, 23 ms
21, true, 45, 44, 23 ms
22, true, 47, 46, 21 ms
23, true, 49, 48, 21 ms
24, true, 51, 50, 20 ms
25, true, 53, 52, 23 ms
26, true, 55, 54, 26 ms
27, true, 57, 56, 32 ms
28, true, 59, 58, 24 ms
29, true, 61, 60, 26 ms
30, true, 63, 62, 36 ms
31, true, 65, 64, 34 ms
32, true, 67, 66, 24 ms
33, true, 69, 68, 30 ms
34, true, 71, 70, 24 ms
35, true, 73, 72, 25 ms
36, true, 75, 74, 29 ms
37, true, 77, 76, 23 ms
38, true, 79, 78, 23 ms
39, true, 81, 80, 23 ms
40, true, 83, 82, 26 ms
41, true, 85, 84, 27 ms
42, true, 87, 86, 27 ms
43, true, 89, 88, 29 ms
44, true, 91, 90, 25 ms
45, true, 93, 92, 26 ms
46, true, 95, 94, 27 ms
47, true, 97, 96, 26 ms
48, true, 99, 98, 27 ms
49, true, 101, 100, 34 ms
50, true, 103, 102, 32 ms
51, true, 105, 104, 30 ms
52, true, 107, 106, 27 ms
53, true, 109, 108, 27 ms
54, true, 111, 110, 29 ms
55, true, 113, 112, 27 ms
56, true, 115, 114, 34 ms
57, true, 117, 116, 35 ms
58, true, 119, 118, 34 ms
59, true, 121, 120, 37 ms
60, true, 123, 122, 28 ms
61, true, 125, 124, 33 ms
62, true, 127, 126, 31 ms
63, true, 129, 128, 36 ms
64, true, 131, 130, 38 ms
65, true, 133, 132, 33 ms
66, true, 135, 134, 37 ms
67, true, 137, 136, 31 ms
68, true, 139, 138, 37 ms
69, true, 141, 140, 34 ms
70, true, 143, 142, 38 ms
71, true, 145, 144, 38 ms
72, true, 147, 146, 39 ms
73, true, 149, 148, 35 ms
74, true, 151, 150, 36 ms
75, true, 153, 152, 42 ms
76, true, 155, 154, 39 ms
77, true, 157, 156, 40 ms
78, true, 159, 158, 42 ms
79, true, 161, 160, 36 ms
80, true, 163, 162, 41 ms
81, true, 165, 164, 41 ms
82, true, 167, 166, 45 ms
83, true, 169, 168, 43 ms
84, true, 171, 170, 42 ms
85, true, 173, 172, 40 ms
86, true, 175, 174, 43 ms
87, true, 177, 176, 44 ms
88, true, 179, 178, 43 ms
89, true, 181, 180, 44 ms
90, true, 183, 182, 40 ms
91, true, 185, 184, 47 ms
92, true, 187, 186, 46 ms
93, true, 189, 188, 42 ms
94, true, 191, 190, 44 ms
95, true, 193, 192, 50 ms
96, true, 195, 194, 42 ms
97, true, 197, 196, 44 ms
98, true, 199, 198, 44 ms
99, true, 201, 200, 41 ms
